#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           8         8.1                   0              0                0              0                0              0            0%         0%
         8.1         8.2                   0              0                0              0                0              0            0%         0%
         8.2         8.3                   0              0                0              0                0              0            0%         0%
         8.3         8.4                   0              0                0              0                0              0            0%         0%
         8.4         8.5                   0              0                0              0                0              0            0%         0%
         8.5         8.6                   0              0                0              0                0              0            0%         0%
         8.6         8.7                   0              0                0              0                0              0            0%         0%
         8.7         8.8                   0              0                0              0                0              0            0%         0%
         8.8         8.9                   0              0                0              0                0              0            0%         0%
         8.9           9                   0              0                0              0                0              0            0%         0%
           9         9.1                   0              0                0              0                0              0            0%         0%
         9.1         9.2                   0              0                0              0                0              0            0%         0%
         9.2         9.3                   0              0                0              0                0              0            0%         0%
         9.3         9.4                   0              0                0              0                0              0            0%         0%
         9.4         9.5                   0              0                0              0                0              0            0%         0%
         9.5         9.6                   0              0                0              0                0              0            0%         0%
         9.6         9.7                   0              0                0              0                0              0            0%         0%
         9.7         9.8                   0              0                0              0                0              0            0%         0%
         9.8         9.9                   0              0                0              0                0              0            0%         0%
         9.9          10                   0              0                0              0                0              0            0%         0%
